search_run_id,source_db,platform,query_string,date_ran,results_n
srch_2025_10_02_01,IEEE Xplore,web,"(optical phased array) AND (reconfigurable intelligent surface) AND (NLoS)",2025-10-02T20:30:00Z,128
elicit_2025-10-05_01,Elicit (Semantic Scholar/PubMed + OpenAlex),web,"("optical phased array" OR OPA OR "photonic phased array") AND (RIS OR "reconfigurable intelligent surface" OR "intelligent reflecting surface" OR "optical metasurface" OR "programmable metasurface") AND (ISAC OR "integrated sensing and communication" OR "joint sensing and communication" OR "dual-function communication sensing")",2025-10-05T00:00:00Z,755
